Canton of patients,Cesarean section rate (%),Average age at delivery,Average age at cesarean section,year
VS,26.038599935,30.658161596,31.600502513,2014
NE,27.578347578,30.782336182,31.752066116,2014
GE,32.492412747,32.1534522,33.413309982,2014
JU,23.123123123,30.845345345,31.928571429,2014
ZH,37.18753848,31.999384312,32.823344371,2015
BE,33.829919305,31.409786882,32.189296636,2015
LU,32.83507723,31.190832088,31.91198786,2015
UR,30.793650794,30.425396825,30.381443299,2015
SZ,32.077922078,31.376623377,32.483805668,2015
OW,26.530612245,31.332361516,31.505494505,2015
NW,28.465346535,32.116336634,32.32173913,2015
GL,38.287153652,30.508816121,31.171052632,2015
ZG,39.123630673,32.355242567,33.016,2015
FR,29.87987988,30.892192192,31.720603015,2015
SO,37.678790356,30.822231304,31.239696312,2015
BS,34.506302521,31.848739496,32.799086758,2015
BL,34.482758621,31.640162272,32.437647059,2015
SH,36.32218845,30.869300912,31.912133891,2015
AR,30.386740331,30.593001842,31.593939394,2015
AI,31.764705882,30.9,31.537037037,2015
SG,33.972392638,30.743673313,31.269187359,2015
GR,30.533024334,31.106604867,31.451612903,2015
AG,34.965250965,31.255752896,32.048144876,2015
TG,28.122662678,30.738593867,31.841755319,2015
TI,32.782272248,31.968343299,33.358369099,2015
VD,32.076401725,31.482439926,32.66308106,2015
VS,25.071678879,30.706275884,31.820838628,2015
NE,27.949599084,30.841351661,32.465163934,2015
GE,31.659948699,32.14162697,33.321759259,2015
JU,19.562043796,30.537226277,31.037313433,2015
ZH,37.186874507,32.110996543,33.072745066,2016
BE,32.837657676,31.290226643,32.127108057,2016
LU,33.45419386,31.410684071,32.065028902,2016
UR,27.044025157,30.625786164,31.302325581,2016
SZ,35.254691689,31.280831099,32.036121673,2016
OW,24.928366762,31.048710602,32.482758621,2016
NW,33.333333333,31.900537634,32.411290323,2016
GL,36.31713555,30.125319693,30.73943662,2016
ZG,41.220238095,32.55952381,33.463898917,2016
FR,29.868228404,31.026939971,31.857843137,2016
SO,34.333198216,30.828942035,31.613931523,2016
BS,32.422862924,31.977744057,32.633385335,2016
BL,33.999200959,31.60407511,32.777908343,2016
SH,40.659340659,31.046703297,31.682432432,2016
AR,23.985890653,30.693121693,31.220588235,2016
AI,29.05027933,30.776536313,31.807692308,2016
SG,32.718185313,30.715686275,31.237367803,2016
GR,30.913216109,31.353374929,32.262385321,2016
AG,34.61651484,31.181898325,31.85483871,2016
TG,29.89010989,30.872527473,31.605392157,2016
TI,31.813166605,32.18609783,33.275144509,2016
VD,31.404860699,31.47705987,32.707436769,2016
VS,26.752190238,30.755944931,31.733333333,2016
NE,27.958833619,30.803316181,31.989775051,2016
GE,31.948584203,32.262108793,33.460058309,2016
JU,22.13740458,30.916030534,32.04137931,2016
ZH,36.229767555,32.246866253,33.251427612,2017
BE,32.755437013,31.419368076,32.174757282,2017
LU,30.426495116,31.330474148,31.94596711,2017
UR,28.571428571,31.550595238,32.270833333,2017
SZ,31.422651934,31.649171271,32.986813187,2017
OW,26.136363636,31.650568182,32.630434783,2017
NW,35.980148883,32.007444169,32.724137931,2017
GL,40.43715847,30.459016393,31.317567568,2017
ZG,39.837398374,32.509756098,33.267346939,2017
FR,29.210447313,31.068447914,31.864337102,2017
SO,35.33956893,30.950386336,31.448791715,2017
BS,32.026817947,32.436823105,33.238325282,2017
BL,32.663514578,31.671000788,32.495778046,2017
SH,34.985835694,30.759206799,30.914979757,2017
AR,27.323420074,31.314126394,31.74829932,2017
AI,23.728813559,31.491525424,32.928571429,2017
SG,30.637450199,30.867928287,31.659947984,2017
GR,31.649421789,31.57821059,32.038461538,2017
AG,34.268328881,31.326061146,32.142052837,2017
TG,29.812030075,30.890225564,31.62295082,2017
TI,30.178837556,32.248509687,33.471604938,2017
VD,30.051503174,31.686669062,32.823037067,2017
VS,27.157761619,30.944672779,32.01862631,2017
NE,24.853458382,30.816529894,32.056603774,2017
GE,32.076162578,32.381362138,33.392694064,2017
JU,24.174174174,30.56006006,31.596273292,2017
ZH,35.711200247,32.407096575,33.398997754,2018
BE,32.128141739,31.670065925,32.474831677,2018
LU,32.214285714,31.427380952,31.977087953,2018
UR,20.571428571,30.977142857,32.125,2018
SZ,33.865814696,31.543769968,32.581132075,2018
OW,30.08356546,31.871866295,32.87962963,2018
NW,31.670822943,32.132169576,32.858267717,2018
GL,39.686684073,30.433420366,30.953947368,2018
ZG,37.195121951,32.450457317,32.995901639,2018
FR,29.352226721,31.150954309,31.833497537,2018
SO,33.085647243,31.161908487,31.911347518,2018
BS,32.091097308,32.339026915,33.088709677,2018
BL,35.152487961,31.769261637,32.514840183,2018
SH,32.920110193,31.038567493,31.769874477,2018
AR,31.327433628,31.57699115,32.13559322,2018
AI,28.395061728,31.12345679,31.913043478,2018
SG,30.770716631,30.958663319,31.716258632,2018
GR,29.942528736,31.506321839,32.049904031,2018
AG,34.35828877,31.26218063,32.031128405,2018
TG,28.772423496,31.039043264,31.502444988,2018
TI,30.545305453,32.399343993,33.506040268,2018
VD,29.430604982,31.746737841,32.757758968,2018
VS,27.329974811,31.11429471,31.960829493,2018
NE,27.334570192,30.993197279,31.963800905,2018
GE,31.18784012,32.544567461,33.759927798,2018
JU,23.546944858,30.588673621,31.816455696,2018
ZH,36.585824403,32.466691734,33.421377184,2019
BE,32.100437591,31.65107314,32.457968192,2019
LU,31.287605295,31.698916968,32.436153846,2019
UR,24.012158055,31.200607903,31.708860759,2019
SZ,32.783505155,31.412371134,32.36687631,2019
OW,23.511904762,31.583333333,32.392405063,2019
NW,31.335149864,32.070844687,32.295652174,2019
GL,34.263959391,30.789340102,31.792592593,2019
ZG,37.431906615,32.547081712,33.266112266,2019
FR,29.135948098,31.132999115,31.958502024,2019
SO,33.978234583,31.226118501,31.981020166,2019
BS,33.131618759,32.60110943,33.640791476,2019
BL,34.696406444,32.181743081,32.816666667,2019
SH,33.965014577,31.307580175,31.309012876,2019
AR,30.410447761,31.182835821,32.45398773,2019
AI,28.220858896,31.288343558,31.652173913,2019
SG,31.15697559,31.141099424,31.67388535,2019
GR,32.655654384,31.915501906,32.624513619,2019
AG,33.799705449,31.464506627,32.089760349,2019
TG,29.234675372,31.122959739,31.995037221,2019
TI,31.851549755,32.444127243,33.649167734,2019
VD,28.748197982,31.858962037,33.087338069,2019
VS,26.029654036,31.180230643,32.440506329,2019
NE,27.233518176,31.20702403,32.119909502,2019
GE,28.10880829,32.585122132,33.78275181,2019
JU,23.367198839,30.775036284,31.956521739,2019
ZH,37.518891688,32.569710327,33.473481034,2020
BE,32.560623865,31.796282448,32.595144357,2020
LU,34.599362901,31.66503308,32.21388102,2020
